Player_Id,Year,Fumbles,Rushing_Yards,Receiving_Yards,Rushing_TD,Receptions,Recieving_TD,Fantasy_Reception_Points,Fantasy_Rushing_Points,Fantasy_Standard_Reciving_Points,Total_Standard,Total_PPR
lesean-mccoy,2010,1,1080,592,7,78,2,78,150,71.2,220.2,298.2
odell-beckham,2016,0,3,1367,0,101,10,101,0.3,196.7,197,298
emmanuel-sanders,2014,0,25,1404,0,101,9,101,2.5,194.4,196.9,297.9
demaryius-thomas,2012,0,5,1434,0,94,10,94,0.5,203.4,203.9,297.9
travis-kelce,2018,0,7,1336,0,103,10,103,0.7,193.6,194.29999999999998,297.3
austin-ekeler,2019,1,530,993,1,92,8,92,59,147.3,205.3,297.3
a-j-green,2012,1,2,1350,0,97,11,97,0.2,201,200.2,297.2
odell-beckham,2014,0,35,1305,0,91,12,91,3.5,202.5,206,297
david-johnson,2016,0,691,879,6,80,4,80,105.1,111.9,217,297
juju-smith-schuster,2018,0,13,1426,0,111,7,111,1.3,184.6,185.9,296.9
devonta-freeman,2019,1,1079,410,11,59,4,59,173.9,65,237.9,296.9
aaron-jones,2020,2,1084,355,16,47,2,47,204.4,47.5,249.9,296.9
randall-cobb,2014,0,50,1287,0,91,12,91,5,200.7,205.7,296.7
adrian-peterson,2017,3,2097,70,12,11,0,11,281.7,7,285.7,296.7
emmanuel-sanders,2014,0,12,1404,0,101,9,101,1.2,194.4,195.6,296.6
demaryius-thomas,2012,1,1,1434,0,94,10,94,0.1,203.4,202.5,296.5
jimmy-graham,2011,0,3,1310,0,99,11,99,0.3,197,197.3,296.3
kareem-hunt,2017,1,1327,455,8,53,3,53,180.7,63.5,243.2,296.2
lesean-mccoy,2010,3,1138,592,6,78,2,78,149.8,71.2,218,296
david-johnson,2016,2,581,879,8,80,4,80,106.1,111.9,216,296
emmanuel-sanders,2014,0,4,1404,0,101,9,101,0.4,194.4,194.8,295.8
emmanuel-sanders,2014,0,4,1404,0,101,9,101,0.4,194.4,194.8,295.8
alvin-kamara,2018,1,728,709,8,81,4,81,120.8,94.9,214.7,295.70000000000005
todd-gurley,2018,3,857,580,12,59,4,59,157.7,82,236.7,295.7
derrick-henry,2019,5,1540,206,16,18,2,18,250,32.6,277.6,295.6
le-veon-bell,2017,1,860,655,8,85,2,85,134,77.5,210.5,295.5
odell-beckham,2014,0,19,1305,0,91,12,91,1.9,202.5,204.4,295.4
randall-cobb,2014,0,37,1287,0,91,12,91,3.7,200.7,204.39999999999998,295.4
alvin-kamara,2020,3,797,756,5,83,5,83,109.7,105.6,212.3,295.29999999999995
adrian-peterson,2009,6,1485,436,11,43,0,43,214.5,43.6,252.10000000000002,295.1
randall-cobb,2014,0,33,1287,0,91,12,91,3.3,200.7,204,295
christian-mccaffrey,2019,1,435,1005,2,116,4,116,55.5,124.5,179,295
dez-bryant,2013,0,5,1233,0,93,13,93,0.5,201.3,201.8,294.8
adrian-peterson,2012,9,1760,217,10,40,1,40,236,27.7,254.7,294.7
odell-beckham,2014,0,10,1305,0,91,12,91,1,202.5,203.5,294.5
dez-bryant,2013,0,1,1233,0,93,13,93,0.1,201.3,201.4,294.4
odell-beckham,2014,0,9,1305,0,91,12,91,0.9,202.5,203.4,294.4
odell-beckham,2014,0,8,1305,0,91,12,91,0.8,202.5,203.3,294.3
odell-beckham,2014,0,3,1305,0,91,12,91,0.3,202.5,202.8,293.8
devonta-freeman,2019,2,1056,410,11,59,4,59,171.6,65,234.6,293.6
deandre-hopkins,2020,0,18,1407,0,115,6,115,1.8,176.7,178.5,293.5
randall-cobb,2014,0,17,1287,0,91,12,91,1.7,200.7,202.39999999999998,293.4
dalvin-cook,2019,3,1135,519,13,53,0,53,191.5,51.9,240.4,293.4
lesean-mccoy,2016,3,1267,356,13,50,1,50,204.7,41.6,243.29999999999998,293.3
christian-mccaffrey,2019,0,225,1005,5,116,4,116,52.5,124.5,177,293
randall-cobb,2014,0,11,1287,0,91,12,91,1.1,200.7,201.79999999999998,292.79999999999995
adrian-peterson,2015,6,1383,222,18,30,0,30,246.3,22.2,262.5,292.5
adrian-peterson,2013,6,1383,171,18,29,1,29,246.3,23.1,263.40000000000003,292.40000000000003
marshawn-lynch,2014,3,1257,367,12,37,4,37,197.7,60.7,255.39999999999998,292.4
randall-cobb,2014,0,5,1287,0,91,12,91,0.5,200.7,201.2,292.2
adrian-peterson,2007,6,1383,268,18,19,1,19,246.3,32.8,273.1,292.1
deandre-hopkins,2020,0,1,1407,0,115,6,115,0.1,176.7,176.79999999999998,291.79999999999995
david-johnson,2020,5,1239,314,16,33,2,33,219.9,43.4,258.3,291.3
ezekiel-elliott,2018,1,983,567,7,77,3,77,140.3,74.7,214,291
todd-gurley,2019,0,1251,207,17,31,2,31,227.1,32.7,259.8,290.8
